,percent_NH_WHITE,percent_NH_BLACK,percent_NH_AMIN,percent_NH_ASIAN,percent_NH_NHPI,percent_NH_OTHER,percent_NH_2MORE,percent_HISP,percent_H_WHITE,percent_H_BLACK,percent_H_AMIN,percent_H_ASIAN,percent_H_NHPI,percent_H_OTHER,percent_H_2MORE,percent_LESS_10K,percent_10K_15K,percent_15K_20K,percent_20K_25K,percent_25K_30K,percent_30K_35K,percent_35K_40K,percent_40K_45K,percent_45K_50K,percent_50K_60K,percent_60K_75K,percent_75K_100K,percent_100K_125K,percent_125K_150K,percent_150K_200K,percent_200K_MORE,vote_GARCIA_2015
1557,0.006053269,0.974576271,0,0,0,0,0.013317191,0.006053269,2.69E-11,0.004842615,0,0,0,0.001210654,2.15E-11,0.016494712,0.010580799,0.013335947,0.026393859,0.01368941,0.029837452,0.01462056,0.016294742,0.017395721,0.024385831,0.03505149,0.042704795,0.025013862,0.01524293,0.007254277,0.001738865,0.698630137
1558,0.785016291,0.01791531,0.001628664,0.048045601,0,0.003257329,0.017100977,0.127035829,0.074104234,0.004885994,0,0.000814332,0,0.030944624,0.016286645,0.028553435,0.00710552,5.62E-10,0.003521355,0.010333118,0.014929904,0.008432216,0.01814734,0.014915309,0.055204672,0.055860723,0.077795275,0.079165754,0.023492186,0.025996484,0.085552407,0.312661499
1559,0.776872954,0.021986969,0.003257328,0.040716621,0.000814332,0.005700326,0.017100976,0.133550493,0.074104233,0,0.004071661,0.000814333,0,0.046416943,0.008143323,0.00936159,0.007104754,0.018022293,0.015335609,0.007944383,0.021013103,0.015817961,0.007607818,0.012352863,0.023009881,0.070045823,0.039320433,0.036914891,0.027913129,0.019154882,0.083379514,0.231660232
1560,0.729483246,0.050911867,0.002279635,0.126899708,0.000759878,0.002279635,0.018237085,0.069148945,0.042553194,0.005319149,0,0.000759879,0,0.014437695,0.006079029,0.026221614,0.006612409,0.0114007,0.006384394,0.010032618,0.008892549,0.012540774,0.024853528,0.027133668,0.031009911,0.034202105,0.112638931,0.056547484,0.036710264,0.029185799,0.028273742,0.213333333
1561,0.043409211,0.039174166,0.002646903,0.004235045,0,0,0.000529381,0.910005294,0.457384859,0.004235045,0.000529381,0.002117523,0,0.399152992,0.046585495,0.012429927,0.004605084,0.008883287,0.014349924,0.026324298,0.005011085,0.019620333,0.010835491,0.002505542,0.02729652,0.021528767,0.017298797,0.010397943,0.00595952,0.002167098,1.56E-10,0.281553398
1562,0.896016215,0.020931796,0.002025658,0.02498312,0.000675219,0.002025658,0.012829169,0.040513163,0.03308575,0.000675219,0.001350438,0.000675219,0,0.002700878,0.002025658,0.010751835,0.005860666,7.33E-11,0.004968345,0.001437646,0.002787049,0.003293785,0.004560625,0.003717958,0.011908299,0.016419563,0.029985675,0.059194791,0.036744343,0.019217679,0.080698756,0.150259067
1563,0.435840698,0.033185842,0.002212389,0.046460178,0,0,0.015486726,0.466814167,0.185840707,0.024336283,0,0.006637168,0,0.190265495,0.059734513,0.001943528,0.019178526,0.000614568,0.013164674,0.00955625,0.030449333,0.021754863,0.004295337,0.007898804,0.041919469,0.070851408,0.092938532,0.061187702,0.057595345,0.04845362,0.104879103,0.357429719
1564,0.71640736,0.116690241,0.001414427,0.031824611,0,0,0.026166901,0.10749646,0.045968885,0.005657708,0.00212164,0.000707214,0,0.035360676,0.017680337,0.022190976,0.006122665,0.004452847,0.00227181,0.020368264,0.002019387,4.18E-11,0.001669818,0.006502492,0.011654478,0.015945675,0.023591636,0.025052033,0.017289808,0.03886843,0.064453185,0.241935484
1565,0.728181816,0.013636364,0,0.08,0.001818182,0,0.013636364,0.162727274,0.106363637,0.001818182,0.003636364,0,0,0.04,0.010909091,0.010379829,0.007867065,0.011610205,4.98E-10,0.01259571,0.003111104,0.019577401,0.014951518,0.009957513,0.017431047,0.034017663,0.084006617,0.04852384,0.054094891,0.039020788,0.021988987,0.422818792
1566,0.724767707,0.010172022,0,0.19394526,0,0.008322557,0.016610683,0.04618177,0.038803057,0.000924729,7.23E-10,0.000924729,0,0.002774188,0.002755065,0.011984227,0.007986574,0.020645814,0.000826777,0.010718671,0.008715193,0.003380245,0.019230968,0.007093573,0.015378161,0.008370925,0.03036507,0.013987063,0.005379399,0.023018611,0.016482065,0.164794007
